"","NRI_ID","STATE","STATEABBRV","COUNTY","AVLN_risk","CFLD_risk","CWAV_risk","DRGT_risk","ERQK_risk","HAIL_risk","HWAV_risk","HRCN_risk","ISTM_risk","LNDS_risk","LTNG_risk","RFLD_risk","SWND_risk","TRND_risk","TSUN_risk","VLCN_risk","WFIR_risk","WNTW_risk"
"38","C01075","Alabama","AL","Lamar",1,1,3,2,2,3,2,2,3,2,4,3,3,3,1,1,2,2
"39","C01077","Alabama","AL","Lauderdale",1,1,3,2,2,3,2,2,3,2,4,3,4,3,1,1,2,2
"40","C01079","Alabama","AL","Lawrence",1,1,3,3,2,3,2,2,3,2,4,2,4,3,1,1,2,2
"41","C01081","Alabama","AL","Lee",1,1,3,3,2,3,2,2,3,2,4,2,2,2,1,1,2,2
"42","C01083","Alabama","AL","Limestone",1,1,3,3,2,3,2,2,3,2,4,3,5,3,1,1,2,2
"43","C01085","Alabama","AL","Lowndes",1,1,3,3,2,3,2,2,3,2,4,2,2,3,1,1,2,2
"44","C01087","Alabama","AL","Macon",1,1,3,3,2,3,2,3,3,2,4,2,2,2,1,1,2,2
"45","C01089","Alabama","AL","Madison",1,1,3,3,2,3,2,2,3,2,4,3,5,3,1,1,2,2
"46","C01091","Alabama","AL","Marengo",1,1,3,2,2,3,2,3,3,2,4,2,2,3,1,1,2,2
"47","C01093","Alabama","AL","Marion",1,1,3,2,2,3,2,2,3,2,4,2,3,3,1,1,2,2
"48","C01095","Alabama","AL","Marshall",1,1,3,3,2,3,2,2,3,2,4,2,4,3,1,1,2,2
"49","C01097","Alabama","AL","Mobile",1,4,3,2,2,2,2,4,3,2,5,3,2,3,1,1,3,2
"50","C01099","Alabama","AL","Monroe",1,2,3,2,2,2,2,3,2,2,4,2,2,3,1,1,2,2
"51","C01101","Alabama","AL","Montgomery",1,1,3,3,2,3,2,2,3,2,4,2,2,3,1,1,2,2
"52","C01103","Alabama","AL","Morgan",1,1,3,3,2,3,2,2,3,2,4,3,4,3,1,1,2,2
"53","C01105","Alabama","AL","Perry",1,1,3,3,2,3,2,2,2,2,4,2,2,3,1,1,2,2
"54","C01107","Alabama","AL","Pickens",1,1,3,3,2,3,2,2,3,2,4,2,2,3,1,1,2,2
"55","C01109","Alabama","AL","Pike",1,1,3,3,2,2,2,3,2,2,4,2,2,3,1,1,2,2
"56","C01111","Alabama","AL","Randolph",1,1,3,3,2,3,2,2,3,2,4,2,2,2,1,1,2,2
"57","C01113","Alabama","AL","Russell",1,1,3,3,2,3,2,2,3,2,4,2,2,2,1,1,2,2
"58","C01115","Alabama","AL","St. Clair",1,1,3,3,2,3,2,2,2,2,4,2,3,3,1,1,2,2
"59","C01117","Alabama","AL","Shelby",1,1,3,3,2,3,2,2,3,2,4,2,2,3,1,1,2,2
"60","C01119","Alabama","AL","Sumter",1,1,3,2,2,3,2,2,3,2,4,2,3,3,1,1,2,2
"61","C01121","Alabama","AL","Talladega",1,1,3,3,2,3,2,2,2,2,4,2,3,3,1,1,2,2
"62","C01123","Alabama","AL","Tallapoosa",1,1,3,3,2,3,2,2,3,2,4,2,2,3,1,1,2,2
"63","C01125","Alabama","AL","Tuscaloosa",1,1,3,3,2,3,2,2,3,2,4,2,2,4,1,1,2,2
"64","C01127","Alabama","AL","Walker",1,1,3,3,2,3,2,2,3,2,4,2,3,3,1,1,2,2
"65","C01129","Alabama","AL","Washington",1,2,3,2,2,3,2,4,3,2,4,2,3,3,1,1,2,2
"66","C01131","Alabama","AL","Wilcox",1,1,3,3,2,2,2,3,2,2,4,2,2,3,1,1,2,2
"67","C01133","Alabama","AL","Winston",1,1,3,3,2,3,2,2,3,2,4,2,4,3,1,1,2,2
"68","C02013","Alaska","AK","Aleutians East",2,2,3,2,5,2,2,1,2,1,1,2,2,2,4,4,2,3
"69","C02016","Alaska","AK","Aleutians West",1,2,3,2,5,2,2,1,2,1,1,2,2,2,5,5,2,3
"70","C02020","Alaska","AK","Anchorage",4,2,3,2,5,2,2,1,2,1,1,2,2,2,2,2,2,3
"71","C02050","Alaska","AK","Bethel",2,2,3,2,2,2,2,1,2,1,1,2,2,2,1,2,3,3
"72","C02060","Alaska","AK","Bristol Bay",1,2,3,2,5,2,2,1,2,1,1,2,2,2,1,2,2,3
"73","C02063","Alaska","AK","Chugach",2,2,3,2,5,2,2,1,2,1,1,2,2,2,2,2,2,3
"74","C02066","Alaska","AK","Copper River",2,2,3,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2
"75","C02068","Alaska","AK","Denali",2,1,3,2,5,2,2,1,2,1,1,2,2,2,1,1,4,3
"76","C02070","Alaska","AK","Dillingham",2,2,3,2,2,2,2,1,2,1,1,2,2,2,2,1,2,3
"77","C02090","Alaska","AK","Fairbanks North Star",1,1,3,2,2,2,2,1,2,1,1,2,2,2,1,1,5,3
"78","C02100","Alaska","AK","Haines",2,2,3,2,2,2,2,1,2,1,1,2,2,2,2,1,2,5
"79","C02105","Alaska","AK","Hoonah-Angoon",2,2,3,2,5,2,2,1,2,1,1,2,2,2,3,1,2,3
"80","C02110","Alaska","AK","Juneau",2,2,3,2,2,2,2,1,2,1,1,2,2,2,2,1,2,4
"81","C02122","Alaska","AK","Kenai Peninsula",4,2,3,2,5,2,2,1,2,1,1,2,2,2,2,4,3,3
"82","C02130","Alaska","AK","Ketchikan Gateway",1,2,3,2,5,2,2,1,2,1,1,2,2,2,2,2,2,3
"83","C02150","Alaska","AK","Kodiak Island",1,2,3,2,5,2,2,1,2,1,1,2,2,2,2,2,2,3
"84","C02158","Alaska","AK","Kusilvak",1,2,3,2,2,2,2,1,2,1,1,2,2,2,1,1,2,5
"85","C02164","Alaska","AK","Lake and Peninsula",2,2,3,2,5,2,2,1,2,1,1,2,2,2,2,3,2,3
"86","C02170","Alaska","AK","Matanuska-Susitna",4,2,3,2,5,2,2,1,2,1,1,2,2,2,2,2,2,2
"87","C02180","Alaska","AK","Nome",2,2,3,2,2,2,2,1,2,1,1,2,2,2,2,1,2,5
"88","C02185","Alaska","AK","North Slope",2,2,4,2,2,2,2,1,2,1,1,2,2,2,1,1,2,4
"89","C02188","Alaska","AK","Northwest Arctic",1,2,3,2,2,2,2,1,2,1,1,2,2,2,1,1,2,5
"90","C02195","Alaska","AK","Petersburg",2,2,3,2,2,2,2,1,2,1,1,2,2,2,2,2,2,3
"91","C02198","Alaska","AK","Prince of Wales-Hyder",1,2,3,2,5,2,2,1,2,1,1,2,2,2,2,2,2,3
"92","C02220","Alaska","AK","Sitka",2,2,3,2,5,2,2,1,2,1,1,2,2,2,2,1,2,3
"93","C02230","Alaska","AK","Skagway",2,2,3,2,2,2,2,1,2,1,1,2,2,2,2,1,2,5
"94","C02240","Alaska","AK","Southeast Fairbanks",2,1,3,2,2,2,2,1,2,1,1,2,2,2,1,2,4,3
"95","C02275","Alaska","AK","Wrangell",2,2,3,2,2,2,2,1,2,1,1,2,2,2,2,2,2,3
"96","C02282","Alaska","AK","Yakutat",1,2,3,2,5,2,2,1,2,1,1,2,2,2,3,1,2,3
"97","C02290","Alaska","AK","Yukon-Koyukuk",2,1,3,2,2,2,2,1,2,1,1,2,2,2,1,1,4,4
"98","C04001","Arizona","AZ","Apache",1,1,3,5,2,2,2,2,2,2,3,3,2,2,1,1,2,2
"99","C04003","Arizona","AZ","Cochise",1,1,3,3,2,2,3,2,1,2,3,5,2,2,1,1,5,2
"100","C04005","Arizona","AZ","Coconino",2,1,3,4,2,2,2,1,2,3,3,5,2,4,1,1,5,3
"101","C04007","Arizona","AZ","Gila",1,1,3,3,2,2,3,2,1,2,3,4,2,2,1,1,5,3
"102","C04009","Arizona","AZ","Graham",1,1,3,4,2,2,4,2,1,2,3,2,2,2,1,1,4,3
"103","C04011","Arizona","AZ","Greenlee",1,1,3,4,2,2,3,2,1,3,3,2,2,2,1,1,3,3
"104","C04012","Arizona","AZ","La Paz",1,1,3,3,2,2,5,2,1,2,2,3,2,2,1,1,2,2
"105","C04013","Arizona","AZ","Maricopa",1,1,3,3,2,2,5,2,1,2,2,5,2,3,1,1,2,2
"106","C04015","Arizona","AZ","Mohave",1,1,3,4,2,2,5,1,2,2,3,5,2,2,1,1,4,2
"107","C04017","Arizona","AZ","Navajo",1,1,3,4,2,2,2,1,2,2,3,3,2,2,1,1,3,2
"108","C04019","Arizona","AZ","Pima",1,1,3,3,2,2,4,2,1,2,3,5,2,2,1,1,4,2
"109","C04021","Arizona","AZ","Pinal",1,1,3,3,2,2,5,2,1,2,3,3,2,2,1,1,3,2
"110","C04023","Arizona","AZ","Santa Cruz",1,1,3,3,2,2,3,2,1,2,4,3,2,2,1,1,5,2
"111","C04025","Arizona","AZ","Yavapai",1,1,3,3,2,2,4,1,1,2,3,4,2,2,1,1,4,2
"112","C04027","Arizona","AZ","Yuma",1,1,3,3,2,2,5,2,1,2,2,2,2,2,1,1,2,2
"113","C05001","Arkansas","AR","Arkansas",1,1,3,2,2,3,3,2,4,2,4,2,3,3,1,1,2,2
"114","C05003","Arkansas","AR","Ashley",1,1,3,2,2,3,3,2,4,2,4,2,3,3,1,1,2,2
"115","C05005","Arkansas","AR","Baxter",1,1,3,2,2,3,2,2,5,2,4,2,3,2,1,1,2,3
"116","C05007","Arkansas","AR","Benton",1,1,3,2,2,4,3,2,5,2,4,3,5,3,1,1,4,3
"117","C05009","Arkansas","AR","Boone",1,1,3,2,2,4,2,2,5,2,4,2,4,2,1,1,3,3
"118","C05011","Arkansas","AR","Bradley",1,1,3,2,2,3,3,2,4,2,4,2,3,2,1,1,2,2
"119","C05013","Arkansas","AR","Calhoun",1,1,3,3,2,3,2,2,4,2,4,2,3,2,1,1,2,2
"120","C05015","Arkansas","AR","Carroll",1,1,3,2,2,4,2,2,5,2,4,2,4,2,1,1,2,3
"121","C05017","Arkansas","AR","Chicot",1,1,3,2,2,3,3,2,3,2,4,3,3,3,1,1,2,2
"122","C05019","Arkansas","AR","Clark",1,1,3,3,2,3,2,2,3,2,4,3,3,3,1,1,2,2
"123","C05021","Arkansas","AR","Clay",1,1,3,2,2,3,3,2,4,2,4,2,3,3,1,1,2,3
"124","C05023","Arkansas","AR","Cleburne",1,1,3,2,2,3,2,2,4,2,4,2,3,2,1,1,2,2
"125","C05025","Arkansas","AR","Cleveland",1,1,3,2,2,3,3,2,4,2,4,2,3,2,1,1,2,2
"126","C05027","Arkansas","AR","Columbia",1,1,3,3,2,3,3,2,4,2,4,2,4,3,1,1,2,2
"127","C05029","Arkansas","AR","Conway",1,1,3,2,2,3,3,2,4,2,4,2,3,2,1,1,2,2
"128","C05031","Arkansas","AR","Craighead",1,1,3,2,2,3,4,2,4,2,4,3,2,3,1,1,2,3
"129","C05033","Arkansas","AR","Crawford",1,1,3,2,2,4,5,2,5,2,4,3,4,2,1,1,4,3
"130","C05035","Arkansas","AR","Crittenden",1,1,3,2,2,3,4,2,4,2,4,2,2,2,1,1,2,2
"131","C05037","Arkansas","AR","Cross",1,1,3,2,2,3,4,2,4,2,4,2,2,2,1,1,2,2
"132","C05039","Arkansas","AR","Dallas",1,1,3,2,2,3,2,2,4,2,4,2,3,2,1,1,2,2
"133","C05041","Arkansas","AR","Desha",1,1,3,2,2,3,3,2,3,2,4,2,2,3,1,1,2,2
"134","C05043","Arkansas","AR","Drew",1,1,3,2,2,3,3,2,3,2,4,2,3,3,1,1,2,2
"135","C05045","Arkansas","AR","Faulkner",1,1,3,2,2,3,3,2,4,2,4,3,3,3,1,1,2,2
"136","C05047","Arkansas","AR","Franklin",1,1,3,2,2,4,5,2,5,2,4,3,4,2,1,1,3,3
"137","C05049","Arkansas","AR","Fulton",1,1,3,2,2,3,2,2,4,2,4,2,3,2,1,1,2,3
"138","C05051","Arkansas","AR","Garland",1,1,3,2,2,3,2,2,4,2,4,3,3,2,1,1,2,2
"139","C05053","Arkansas","AR","Grant",1,1,3,2,2,3,3,2,4,2,4,2,3,2,1,1,2,2
"140","C05055","Arkansas","AR","Greene",1,1,3,2,2,3,4,2,4,2,4,2,3,2,1,1,2,3
"141","C05057","Arkansas","AR","Hempstead",1,1,3,3,2,3,3,2,2,2,4,2,4,2,1,1,2,2
"142","C05059","Arkansas","AR","Hot Spring",1,1,3,2,2,3,2,2,4,2,4,2,3,2,1,1,2,2
"143","C05061","Arkansas","AR","Howard",1,1,3,3,2,3,2,2,3,2,4,2,3,2,1,1,2,2
"144","C05063","Arkansas","AR","Independence",1,1,3,2,2,3,2,2,4,2,4,3,3,3,1,1,2,2
"145","C05065","Arkansas","AR","Izard",1,1,3,2,2,3,2,2,5,2,4,2,3,2,1,1,2,3
"146","C05067","Arkansas","AR","Jackson",1,1,3,2,2,3,2,2,4,2,4,3,3,3,1,1,2,2
"147","C05069","Arkansas","AR","Jefferson",1,1,3,2,2,3,3,2,4,2,4,3,3,3,1,1,2,2
"148","C05071","Arkansas","AR","Johnson",1,1,3,2,2,3,2,2,4,2,4,2,4,2,1,1,2,2
"149","C05073","Arkansas","AR","Lafayette",1,1,3,3,2,3,3,2,3,2,4,2,4,2,1,1,2,2
"150","C05075","Arkansas","AR","Lawrence",1,1,3,2,2,3,3,2,4,2,4,2,3,2,1,1,2,3
"151","C05077","Arkansas","AR","Lee",1,1,3,2,2,3,4,2,3,2,4,2,2,2,1,1,2,2
"152","C05079","Arkansas","AR","Lincoln",1,1,3,2,2,3,3,2,4,2,4,2,3,3,1,1,2,2
"153","C05081","Arkansas","AR","Little River",1,1,3,3,2,3,2,2,3,2,4,2,4,2,1,1,2,2
"154","C05083","Arkansas","AR","Logan",1,1,3,2,2,3,2,2,4,2,4,2,4,2,1,1,3,2
"155","C05085","Arkansas","AR","Lonoke",1,1,3,2,2,3,3,2,4,2,4,3,3,3,1,1,2,2
"156","C05087","Arkansas","AR","Madison",1,1,3,2,2,4,2,2,5,2,4,3,4,3,1,1,2,3
"157","C05089","Arkansas","AR","Marion",1,1,3,2,2,3,2,2,5,2,4,2,3,2,1,1,3,3
"158","C05091","Arkansas","AR","Miller",1,1,3,3,2,3,2,2,3,2,4,2,4,2,1,1,2,2
"159","C05093","Arkansas","AR","Mississippi",1,1,3,2,2,3,4,2,4,2,4,2,2,3,1,1,2,3
"160","C05095","Arkansas","AR","Monroe",1,1,3,2,2,3,3,2,4,2,4,3,3,2,1,1,2,2
"161","C05097","Arkansas","AR","Montgomery",1,1,3,2,2,3,2,2,3,2,4,2,4,2,1,1,2,2
"162","C05099","Arkansas","AR","Nevada",1,1,3,2,2,3,3,2,3,2,4,2,4,2,1,1,2,2
"163","C05101","Arkansas","AR","Newton",1,1,3,2,2,4,2,2,5,2,4,2,4,3,1,1,2,3
"164","C05103","Arkansas","AR","Ouachita",1,1,3,2,2,3,2,2,3,2,4,3,3,2,1,1,2,2
"165","C05105","Arkansas","AR","Perry",1,1,3,2,2,3,2,2,4,2,4,3,3,2,1,1,2,2
"166","C05107","Arkansas","AR","Phillips",1,1,3,2,2,3,4,2,3,2,4,2,2,2,1,1,2,2
"167","C05109","Arkansas","AR","Pike",1,1,3,3,2,3,2,2,3,2,4,2,3,2,1,1,2,2
"168","C05111","Arkansas","AR","Poinsett",1,1,3,2,2,3,4,2,4,2,4,2,2,3,1,1,2,3
"169","C05113","Arkansas","AR","Polk",1,1,3,3,2,3,2,2,3,2,4,2,3,3,1,1,3,2
"170","C05115","Arkansas","AR","Pope",1,1,3,2,2,3,2,2,4,2,4,2,3,3,1,1,2,2
"171","C05117","Arkansas","AR","Prairie",1,1,3,2,2,3,3,2,4,2,4,3,3,3,1,1,2,2
"172","C05119","Arkansas","AR","Pulaski",1,1,3,2,2,3,3,2,4,2,4,4,3,3,1,1,2,2
"173","C05121","Arkansas","AR","Randolph",1,1,3,2,2,3,3,2,4,2,4,3,3,2,1,1,2,3
"174","C05123","Arkansas","AR","St. Francis",1,1,3,2,2,3,4,2,4,2,4,2,2,2,1,1,2,2
"175","C05125","Arkansas","AR","Saline",1,1,3,2,2,3,3,2,4,2,4,3,3,3,1,1,2,2
"176","C05127","Arkansas","AR","Scott",1,1,3,2,2,4,2,2,3,2,4,2,4,3,1,1,3,2
"177","C05129","Arkansas","AR","Searcy",1,1,3,2,2,3,2,2,5,2,4,2,3,2,1,1,3,3
"178","C05131","Arkansas","AR","Sebastian",1,1,3,2,2,4,5,2,4,2,4,3,4,2,1,1,4,3
"179","C05133","Arkansas","AR","Sevier",1,1,3,3,2,3,2,2,3,2,4,2,3,2,1,1,2,2
"180","C05135","Arkansas","AR","Sharp",1,1,3,2,2,3,2,2,4,2,4,2,3,2,1,1,2,3
"181","C05137","Arkansas","AR","Stone",1,1,3,2,2,3,2,2,5,2,4,2,3,2,1,1,2,2
"182","C05139","Arkansas","AR","Union",1,1,3,3,2,3,3,2,4,2,4,2,3,3,1,1,2,2
"183","C05141","Arkansas","AR","Van Buren",1,1,3,2,2,3,2,2,4,2,4,2,3,3,1,1,2,2
"184","C05143","Arkansas","AR","Washington",1,1,3,2,2,4,3,2,5,2,4,3,5,3,1,1,4,3
"185","C05145","Arkansas","AR","White",1,1,3,2,2,3,3,2,4,2,4,4,3,3,1,1,2,2
"186","C05147","Arkansas","AR","Woodruff",1,1,3,2,2,3,3,2,4,2,4,5,3,2,1,1,2,2
"187","C05149","Arkansas","AR","Yell",1,1,3,2,2,4,2,2,3,2,4,3,4,3,1,1,2,2
"188","C06001","California","CA","Alameda",1,2,3,3,2,2,3,1,1,3,2,3,2,2,2,1,3,2
"189","C06003","California","CA","Alpine",2,1,3,4,2,2,2,1,1,5,2,2,2,2,1,2,4,5
"190","C06005","California","CA","Amador",2,1,3,3,2,2,3,1,1,2,2,2,2,2,1,1,4,4
"191","C06007","California","CA","Butte",1,1,3,3,2,2,3,1,1,2,2,2,2,2,1,2,4,3
"192","C06009","California","CA","Calaveras",2,1,3,3,2,2,3,1,1,2,2,2,2,2,1,2,5,4
"193","C06011","California","CA","Colusa",1,1,3,3,2,2,4,1,1,2,2,2,2,2,1,1,3,2
"194","C06013","California","CA","Contra Costa",1,3,3,3,2,2,3,1,1,2,2,2,2,2,2,1,3,2
"195","C06015","California","CA","Del Norte",1,4,3,2,2,2,2,1,1,3,2,2,2,2,2,1,2,3
"196","C06017","California","CA","El Dorado",2,1,3,3,2,2,3,1,1,3,2,2,2,2,1,1,4,5
"197","C06019","California","CA","Fresno",2,1,3,3,2,2,3,1,1,2,2,3,2,3,1,2,4,4
"198","C06021","California","CA","Glenn",1,1,3,3,2,2,4,1,1,2,2,2,2,2,1,2,4,3
"199","C06023","California","CA","Humboldt",1,4,3,3,2,2,2,1,1,3,2,2,2,2,2,2,3,3
"200","C06025","California","CA","Imperial",1,1,3,3,2,2,5,2,1,2,2,2,2,2,1,1,2,2
"201","C06027","California","CA","Inyo",2,1,3,4,2,2,5,1,1,3,2,4,2,2,1,2,2,3
"202","C06029","California","CA","Kern",1,1,3,4,2,2,4,1,1,2,2,4,2,2,1,1,4,3
"203","C06031","California","CA","Kings",1,1,3,3,2,2,4,1,1,2,2,2,2,2,1,1,4,2
"204","C06033","California","CA","Lake",1,1,3,3,2,2,3,1,1,2,2,2,2,2,1,1,4,3
"205","C06035","California","CA","Lassen",1,1,3,4,2,2,2,1,1,2,2,2,2,2,1,2,5,5
"206","C06037","California","CA","Los Angeles",2,3,3,4,2,2,4,1,1,3,2,4,2,2,2,1,5,3
"207","C06039","California","CA","Madera",2,1,3,3,2,2,3,1,1,2,2,2,2,2,1,2,4,4
"208","C06041","California","CA","Marin",1,3,3,2,2,2,2,1,1,3,2,3,2,2,2,1,2,2
"209","C06043","California","CA","Mariposa",1,1,3,3,2,2,3,1,1,5,2,3,2,2,1,2,5,4
"210","C06045","California","CA","Mendocino",1,4,3,3,2,2,2,1,1,3,2,2,2,2,2,1,3,2
"211","C06047","California","CA","Merced",1,1,3,3,2,2,4,1,1,2,2,2,2,2,1,1,4,2
"212","C06049","California","CA","Modoc",1,1,3,4,2,2,2,1,1,2,2,2,2,2,1,2,3,3
"213","C06051","California","CA","Mono",2,1,3,4,2,2,2,1,1,3,2,2,2,2,1,2,3,5
"214","C06053","California","CA","Monterey",1,4,3,3,2,2,3,1,1,5,2,2,2,2,2,1,4,2
"215","C06055","California","CA","Napa",1,4,3,3,2,2,3,1,1,2,2,2,2,2,2,1,3,2
"216","C06057","California","CA","Nevada",2,1,3,3,2,2,3,1,1,5,2,2,2,2,1,1,4,5
"217","C06059","California","CA","Orange",1,3,3,3,2,2,3,1,1,2,2,3,2,2,2,1,5,2
"218","C06061","California","CA","Placer",2,1,3,3,2,2,3,1,1,2,2,2,2,2,1,1,3,5
"219","C06063","California","CA","Plumas",1,1,3,3,2,2,2,1,1,3,2,2,2,2,1,2,5,5
"220","C06065","California","CA","Riverside",1,1,3,3,2,2,5,2,1,2,2,5,2,3,1,1,5,2
"221","C06067","California","CA","Sacramento",1,2,3,3,2,2,3,1,1,2,2,2,2,2,2,1,3,2
"222","C06069","California","CA","San Benito",1,1,3,3,2,2,3,1,1,2,2,2,2,2,2,1,5,2
"223","C06071","California","CA","San Bernardino",2,1,3,3,2,2,5,1,1,2,2,5,2,5,1,1,5,2
"224","C06073","California","CA","San Diego",2,3,3,3,2,2,4,2,1,2,2,5,2,2,2,1,5,2
"225","C06075","California","CA","San Francisco",1,2,3,2,5,2,2,1,1,2,2,2,2,2,2,1,2,2
"226","C06077","California","CA","San Joaquin",1,1,3,3,2,2,3,1,1,2,2,2,2,2,1,1,3,2
"227","C06079","California","CA","San Luis Obispo",1,4,3,4,2,2,3,1,1,2,2,2,2,2,2,1,4,2
"228","C06081","California","CA","San Mateo",1,2,3,3,2,2,2,1,1,3,2,2,2,2,2,1,2,2
"229","C06083","California","CA","Santa Barbara",1,3,3,3,2,2,3,1,1,2,2,2,2,2,2,1,5,2
"230","C06085","California","CA","Santa Clara",1,2,3,3,2,2,3,1,1,2,2,3,2,2,2,1,4,2
"231","C06087","California","CA","Santa Cruz",1,4,3,3,2,2,2,1,1,4,2,2,2,2,2,1,4,2
"232","C06089","California","CA","Shasta",1,1,3,3,2,2,3,1,1,2,2,2,2,2,1,2,4,4
"233","C06091","California","CA","Sierra",2,1,3,3,2,2,2,1,1,2,2,2,2,2,1,2,5,5
"234","C06093","California","CA","Siskiyou",2,1,3,3,2,2,3,1,1,2,2,2,2,2,1,2,4,5
"235","C06095","California","CA","Solano",1,3,3,3,2,2,3,1,1,2,2,2,2,2,2,1,3,2
"236","C06097","California","CA","Sonoma",1,4,3,3,2,2,3,1,1,3,2,3,2,2,2,1,3,2
"237","C06099","California","CA","Stanislaus",1,1,3,3,2,2,3,1,1,2,2,2,2,2,1,1,4,2
"238","C06101","California","CA","Sutter",1,1,3,3,2,2,3,1,1,2,2,2,2,2,1,1,3,2
"239","C06103","California","CA","Tehama",1,1,3,3,2,2,3,1,1,2,2,2,2,2,1,2,4,3
"240","C06105","California","CA","Trinity",2,1,3,3,2,2,3,1,1,5,2,2,2,2,1,2,5,4
"241","C06107","California","CA","Tulare",2,1,3,3,2,2,3,1,1,2,2,3,2,2,1,1,4,4
"242","C06109","California","CA","Tuolumne",2,1,3,3,2,2,3,1,1,3,2,2,2,2,1,2,5,5
"243","C06111","California","CA","Ventura",1,3,3,3,2,2,4,1,1,3,2,3,2,2,2,1,5,3
