"","NRI_ID","STATE","STATEABBRV","COUNTY","AVLN_risk","CFLD_risk","CWAV_risk","DRGT_risk","ERQK_risk","HAIL_risk","HWAV_risk","HRCN_risk","ISTM_risk","LNDS_risk","LTNG_risk","RFLD_risk","SWND_risk","TRND_risk","TSUN_risk","VLCN_risk","WFIR_risk","WNTW_risk"
"23","C01045","Alabama","AL","Dale","Very Low","Very Low","Middle","Middle","Low","Low","Low","Middle","Low","Low","High","Low","Low","Low","Very Low","Very Low","Low","Low"
"24","C01047","Alabama","AL","Dallas","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Low","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"25","C01049","Alabama","AL","DeKalb","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","High","Middle","Very Low","Very Low","Low","Low"
"26","C01051","Alabama","AL","Elmore","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"27","C01053","Alabama","AL","Escambia","Very Low","Very Low","Middle","Low","Low","Low","Low","Middle","Low","Low","High","Low","Middle","Middle","Very Low","Very Low","Low","Low"
"28","C01055","Alabama","AL","Etowah","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Middle","Middle","Very Low","Very Low","Low","Low"
"29","C01057","Alabama","AL","Fayette","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Middle","Middle","Very Low","Very Low","Low","Low"
"30","C01059","Alabama","AL","Franklin","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","Middle","Low","High","Low","High","Middle","Very Low","Very Low","Low","Low"
"31","C01061","Alabama","AL","Geneva","Very Low","Very Low","Middle","Middle","Low","Low","Low","Middle","Low","Low","High","Low","Low","Low","Very Low","Very Low","Low","Low"
"32","C01063","Alabama","AL","Greene","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"33","C01065","Alabama","AL","Hale","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"34","C01067","Alabama","AL","Henry","Very Low","Very Low","Middle","Middle","Low","Low","Low","Middle","Low","Low","High","Low","Low","Low","Very Low","Very Low","Low","Low"
"35","C01069","Alabama","AL","Houston","Very Low","Very Low","Middle","Middle","Low","Low","Low","High","Low","Low","High","Low","Low","Low","Very Low","Very Low","Low","Low"
"36","C01071","Alabama","AL","Jackson","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","High","High","Very Low","Very Low","Low","Low"
"37","C01073","Alabama","AL","Jefferson","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Middle","Middle","High","Very Low","Very Low","Low","Low"
"38","C01075","Alabama","AL","Lamar","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","Middle","Low","High","Middle","Middle","Middle","Very Low","Very Low","Low","Low"
"39","C01077","Alabama","AL","Lauderdale","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","Middle","Low","High","Middle","High","Middle","Very Low","Very Low","Low","Low"
"40","C01079","Alabama","AL","Lawrence","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","High","Middle","Very Low","Very Low","Low","Low"
"41","C01081","Alabama","AL","Lee","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Low","Low","Very Low","Very Low","Low","Low"
"42","C01083","Alabama","AL","Limestone","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Middle","Very High","Middle","Very Low","Very Low","Low","Low"
"43","C01085","Alabama","AL","Lowndes","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"44","C01087","Alabama","AL","Macon","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Middle","Middle","Low","High","Low","Low","Low","Very Low","Very Low","Low","Low"
"45","C01089","Alabama","AL","Madison","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Middle","Very High","Middle","Very Low","Very Low","Low","Low"
"46","C01091","Alabama","AL","Marengo","Very Low","Very Low","Middle","Low","Low","Middle","Low","Middle","Middle","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"47","C01093","Alabama","AL","Marion","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","Middle","Low","High","Low","Middle","Middle","Very Low","Very Low","Low","Low"
"48","C01095","Alabama","AL","Marshall","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","High","Middle","Very Low","Very Low","Low","Low"
"49","C01097","Alabama","AL","Mobile","Very Low","High","Middle","Low","Low","Low","Low","High","Middle","Low","Very High","Middle","Low","Middle","Very Low","Very Low","Middle","Low"
"50","C01099","Alabama","AL","Monroe","Very Low","Low","Middle","Low","Low","Low","Low","Middle","Low","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"51","C01101","Alabama","AL","Montgomery","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"52","C01103","Alabama","AL","Morgan","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Middle","High","Middle","Very Low","Very Low","Low","Low"
"53","C01105","Alabama","AL","Perry","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Low","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"54","C01107","Alabama","AL","Pickens","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"55","C01109","Alabama","AL","Pike","Very Low","Very Low","Middle","Middle","Low","Low","Low","Middle","Low","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"56","C01111","Alabama","AL","Randolph","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Low","Low","Very Low","Very Low","Low","Low"
"57","C01113","Alabama","AL","Russell","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Low","Low","Very Low","Very Low","Low","Low"
"58","C01115","Alabama","AL","St. Clair","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Low","Low","High","Low","Middle","Middle","Very Low","Very Low","Low","Low"
"59","C01117","Alabama","AL","Shelby","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"60","C01119","Alabama","AL","Sumter","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","Middle","Low","High","Low","Middle","Middle","Very Low","Very Low","Low","Low"
"61","C01121","Alabama","AL","Talladega","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Low","Low","High","Low","Middle","Middle","Very Low","Very Low","Low","Low"
"62","C01123","Alabama","AL","Tallapoosa","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"63","C01125","Alabama","AL","Tuscaloosa","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Low","High","Very Low","Very Low","Low","Low"
"64","C01127","Alabama","AL","Walker","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Middle","Middle","Very Low","Very Low","Low","Low"
"65","C01129","Alabama","AL","Washington","Very Low","Low","Middle","Low","Low","Middle","Low","High","Middle","Low","High","Low","Middle","Middle","Very Low","Very Low","Low","Low"
"66","C01131","Alabama","AL","Wilcox","Very Low","Very Low","Middle","Middle","Low","Low","Low","Middle","Low","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"67","C01133","Alabama","AL","Winston","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","High","Middle","Very Low","Very Low","Low","Low"
"68","C02013","Alaska","AK","Aleutians East","Low","Low","Middle","Low","Very High","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","High","High","Low","Middle"
"69","C02016","Alaska","AK","Aleutians West","Very Low","Low","Middle","Low","Very High","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Very High","Very High","Low","Middle"
"70","C02020","Alaska","AK","Anchorage","High","Low","Middle","Low","Very High","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Low","Low","Low","Middle"
"71","C02050","Alaska","AK","Bethel","Low","Low","Middle","Low","Low","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Very Low","Low","Middle","Middle"
"72","C02060","Alaska","AK","Bristol Bay","Very Low","Low","Middle","Low","Very High","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Very Low","Low","Low","Middle"
"73","C02063","Alaska","AK","Chugach","Low","Low","Middle","Low","Very High","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Low","Low","Low","Middle"
"74","C02066","Alaska","AK","Copper River","Low","Low","Middle","Low","Low","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Low","Low","Low","Low"
"75","C02068","Alaska","AK","Denali","Low","Very Low","Middle","Low","Very High","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Very Low","Very Low","High","Middle"
"76","C02070","Alaska","AK","Dillingham","Low","Low","Middle","Low","Low","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Low","Very Low","Low","Middle"
"77","C02090","Alaska","AK","Fairbanks North Star","Very Low","Very Low","Middle","Low","Low","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Very Low","Very Low","Very High","Middle"
"78","C02100","Alaska","AK","Haines","Low","Low","Middle","Low","Low","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Low","Very Low","Low","Very High"
"79","C02105","Alaska","AK","Hoonah-Angoon","Low","Low","Middle","Low","Very High","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Middle","Very Low","Low","Middle"
"80","C02110","Alaska","AK","Juneau","Low","Low","Middle","Low","Low","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Low","Very Low","Low","High"
"81","C02122","Alaska","AK","Kenai Peninsula","High","Low","Middle","Low","Very High","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Low","High","Middle","Middle"
"82","C02130","Alaska","AK","Ketchikan Gateway","Very Low","Low","Middle","Low","Very High","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Low","Low","Low","Middle"
"83","C02150","Alaska","AK","Kodiak Island","Very Low","Low","Middle","Low","Very High","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Low","Low","Low","Middle"
"84","C02158","Alaska","AK","Kusilvak","Very Low","Low","Middle","Low","Low","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Very Low","Very Low","Low","Very High"
"85","C02164","Alaska","AK","Lake and Peninsula","Low","Low","Middle","Low","Very High","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Low","Middle","Low","Middle"
"86","C02170","Alaska","AK","Matanuska-Susitna","High","Low","Middle","Low","Very High","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Low","Low","Low","Low"
"87","C02180","Alaska","AK","Nome","Low","Low","Middle","Low","Low","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Low","Very Low","Low","Very High"
"88","C02185","Alaska","AK","North Slope","Low","Low","High","Low","Low","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Very Low","Very Low","Low","High"
"89","C02188","Alaska","AK","Northwest Arctic","Very Low","Low","Middle","Low","Low","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Very Low","Very Low","Low","Very High"
"90","C02195","Alaska","AK","Petersburg","Low","Low","Middle","Low","Low","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Low","Low","Low","Middle"
"91","C02198","Alaska","AK","Prince of Wales-Hyder","Very Low","Low","Middle","Low","Very High","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Low","Low","Low","Middle"
"92","C02220","Alaska","AK","Sitka","Low","Low","Middle","Low","Very High","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Low","Very Low","Low","Middle"
"93","C02230","Alaska","AK","Skagway","Low","Low","Middle","Low","Low","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Low","Very Low","Low","Very High"
"94","C02240","Alaska","AK","Southeast Fairbanks","Low","Very Low","Middle","Low","Low","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Very Low","Low","High","Middle"
"95","C02275","Alaska","AK","Wrangell","Low","Low","Middle","Low","Low","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Low","Low","Low","Middle"
"96","C02282","Alaska","AK","Yakutat","Very Low","Low","Middle","Low","Very High","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Middle","Very Low","Low","Middle"
"97","C02290","Alaska","AK","Yukon-Koyukuk","Low","Very Low","Middle","Low","Low","Low","Low","Very Low","Low","Very Low","Very Low","Low","Low","Low","Very Low","Very Low","High","High"
"98","C04001","Arizona","AZ","Apache","Very Low","Very Low","Middle","Very High","Low","Low","Low","Low","Low","Low","Middle","Middle","Low","Low","Very Low","Very Low","Low","Low"
"99","C04003","Arizona","AZ","Cochise","Very Low","Very Low","Middle","Middle","Low","Low","Middle","Low","Very Low","Low","Middle","Very High","Low","Low","Very Low","Very Low","Very High","Low"
"100","C04005","Arizona","AZ","Coconino","Low","Very Low","Middle","High","Low","Low","Low","Very Low","Low","Middle","Middle","Very High","Low","High","Very Low","Very Low","Very High","Middle"
"101","C04007","Arizona","AZ","Gila","Very Low","Very Low","Middle","Middle","Low","Low","Middle","Low","Very Low","Low","Middle","High","Low","Low","Very Low","Very Low","Very High","Middle"
"102","C04009","Arizona","AZ","Graham","Very Low","Very Low","Middle","High","Low","Low","High","Low","Very Low","Low","Middle","Low","Low","Low","Very Low","Very Low","High","Middle"
"103","C04011","Arizona","AZ","Greenlee","Very Low","Very Low","Middle","High","Low","Low","Middle","Low","Very Low","Middle","Middle","Low","Low","Low","Very Low","Very Low","Middle","Middle"
"104","C04012","Arizona","AZ","La Paz","Very Low","Very Low","Middle","Middle","Low","Low","Very High","Low","Very Low","Low","Low","Middle","Low","Low","Very Low","Very Low","Low","Low"
"105","C04013","Arizona","AZ","Maricopa","Very Low","Very Low","Middle","Middle","Low","Low","Very High","Low","Very Low","Low","Low","Very High","Low","Middle","Very Low","Very Low","Low","Low"
"106","C04015","Arizona","AZ","Mohave","Very Low","Very Low","Middle","High","Low","Low","Very High","Very Low","Low","Low","Middle","Very High","Low","Low","Very Low","Very Low","High","Low"
"107","C04017","Arizona","AZ","Navajo","Very Low","Very Low","Middle","High","Low","Low","Low","Very Low","Low","Low","Middle","Middle","Low","Low","Very Low","Very Low","Middle","Low"
"108","C04019","Arizona","AZ","Pima","Very Low","Very Low","Middle","Middle","Low","Low","High","Low","Very Low","Low","Middle","Very High","Low","Low","Very Low","Very Low","High","Low"
"109","C04021","Arizona","AZ","Pinal","Very Low","Very Low","Middle","Middle","Low","Low","Very High","Low","Very Low","Low","Middle","Middle","Low","Low","Very Low","Very Low","Middle","Low"
"110","C04023","Arizona","AZ","Santa Cruz","Very Low","Very Low","Middle","Middle","Low","Low","Middle","Low","Very Low","Low","High","Middle","Low","Low","Very Low","Very Low","Very High","Low"
"111","C04025","Arizona","AZ","Yavapai","Very Low","Very Low","Middle","Middle","Low","Low","High","Very Low","Very Low","Low","Middle","High","Low","Low","Very Low","Very Low","High","Low"
"112","C04027","Arizona","AZ","Yuma","Very Low","Very Low","Middle","Middle","Low","Low","Very High","Low","Very Low","Low","Low","Low","Low","Low","Very Low","Very Low","Low","Low"
"113","C05001","Arkansas","AR","Arkansas","Very Low","Very Low","Middle","Low","Low","Middle","Middle","Low","High","Low","High","Low","Middle","Middle","Very Low","Very Low","Low","Low"
"114","C05003","Arkansas","AR","Ashley","Very Low","Very Low","Middle","Low","Low","Middle","Middle","Low","High","Low","High","Low","Middle","Middle","Very Low","Very Low","Low","Low"
"115","C05005","Arkansas","AR","Baxter","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","Very High","Low","High","Low","Middle","Low","Very Low","Very Low","Low","Middle"
"116","C05007","Arkansas","AR","Benton","Very Low","Very Low","Middle","Low","Low","High","Middle","Low","Very High","Low","High","Middle","Very High","Middle","Very Low","Very Low","High","Middle"
"117","C05009","Arkansas","AR","Boone","Very Low","Very Low","Middle","Low","Low","High","Low","Low","Very High","Low","High","Low","High","Low","Very Low","Very Low","Middle","Middle"
"118","C05011","Arkansas","AR","Bradley","Very Low","Very Low","Middle","Low","Low","Middle","Middle","Low","High","Low","High","Low","Middle","Low","Very Low","Very Low","Low","Low"
"119","C05013","Arkansas","AR","Calhoun","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","High","Low","High","Low","Middle","Low","Very Low","Very Low","Low","Low"
"120","C05015","Arkansas","AR","Carroll","Very Low","Very Low","Middle","Low","Low","High","Low","Low","Very High","Low","High","Low","High","Low","Very Low","Very Low","Low","Middle"
"121","C05017","Arkansas","AR","Chicot","Very Low","Very Low","Middle","Low","Low","Middle","Middle","Low","Middle","Low","High","Middle","Middle","Middle","Very Low","Very Low","Low","Low"
"122","C05019","Arkansas","AR","Clark","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Middle","Middle","Middle","Very Low","Very Low","Low","Low"
"123","C05021","Arkansas","AR","Clay","Very Low","Very Low","Middle","Low","Low","Middle","Middle","Low","High","Low","High","Low","Middle","Middle","Very Low","Very Low","Low","Middle"
"124","C05023","Arkansas","AR","Cleburne","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","High","Low","High","Low","Middle","Low","Very Low","Very Low","Low","Low"
"125","C05025","Arkansas","AR","Cleveland","Very Low","Very Low","Middle","Low","Low","Middle","Middle","Low","High","Low","High","Low","Middle","Low","Very Low","Very Low","Low","Low"
"126","C05027","Arkansas","AR","Columbia","Very Low","Very Low","Middle","Middle","Low","Middle","Middle","Low","High","Low","High","Low","High","Middle","Very Low","Very Low","Low","Low"
"127","C05029","Arkansas","AR","Conway","Very Low","Very Low","Middle","Low","Low","Middle","Middle","Low","High","Low","High","Low","Middle","Low","Very Low","Very Low","Low","Low"
"128","C05031","Arkansas","AR","Craighead","Very Low","Very Low","Middle","Low","Low","Middle","High","Low","High","Low","High","Middle","Low","Middle","Very Low","Very Low","Low","Middle"
"129","C05033","Arkansas","AR","Crawford","Very Low","Very Low","Middle","Low","Low","High","Very High","Low","Very High","Low","High","Middle","High","Low","Very Low","Very Low","High","Middle"
"130","C05035","Arkansas","AR","Crittenden","Very Low","Very Low","Middle","Low","Low","Middle","High","Low","High","Low","High","Low","Low","Low","Very Low","Very Low","Low","Low"
"131","C05037","Arkansas","AR","Cross","Very Low","Very Low","Middle","Low","Low","Middle","High","Low","High","Low","High","Low","Low","Low","Very Low","Very Low","Low","Low"
"132","C05039","Arkansas","AR","Dallas","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","High","Low","High","Low","Middle","Low","Very Low","Very Low","Low","Low"
"133","C05041","Arkansas","AR","Desha","Very Low","Very Low","Middle","Low","Low","Middle","Middle","Low","Middle","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"134","C05043","Arkansas","AR","Drew","Very Low","Very Low","Middle","Low","Low","Middle","Middle","Low","Middle","Low","High","Low","Middle","Middle","Very Low","Very Low","Low","Low"
"135","C05045","Arkansas","AR","Faulkner","Very Low","Very Low","Middle","Low","Low","Middle","Middle","Low","High","Low","High","Middle","Middle","Middle","Very Low","Very Low","Low","Low"
"136","C05047","Arkansas","AR","Franklin","Very Low","Very Low","Middle","Low","Low","High","Very High","Low","Very High","Low","High","Middle","High","Low","Very Low","Very Low","Middle","Middle"
"137","C05049","Arkansas","AR","Fulton","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","High","Low","High","Low","Middle","Low","Very Low","Very Low","Low","Middle"
"138","C05051","Arkansas","AR","Garland","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","High","Low","High","Middle","Middle","Low","Very Low","Very Low","Low","Low"
"139","C05053","Arkansas","AR","Grant","Very Low","Very Low","Middle","Low","Low","Middle","Middle","Low","High","Low","High","Low","Middle","Low","Very Low","Very Low","Low","Low"
"140","C05055","Arkansas","AR","Greene","Very Low","Very Low","Middle","Low","Low","Middle","High","Low","High","Low","High","Low","Middle","Low","Very Low","Very Low","Low","Middle"
"141","C05057","Arkansas","AR","Hempstead","Very Low","Very Low","Middle","Middle","Low","Middle","Middle","Low","Low","Low","High","Low","High","Low","Very Low","Very Low","Low","Low"
"142","C05059","Arkansas","AR","Hot Spring","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","High","Low","High","Low","Middle","Low","Very Low","Very Low","Low","Low"
"143","C05061","Arkansas","AR","Howard","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Middle","Low","Very Low","Very Low","Low","Low"
"144","C05063","Arkansas","AR","Independence","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","High","Low","High","Middle","Middle","Middle","Very Low","Very Low","Low","Low"
"145","C05065","Arkansas","AR","Izard","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","Very High","Low","High","Low","Middle","Low","Very Low","Very Low","Low","Middle"
"146","C05067","Arkansas","AR","Jackson","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","High","Low","High","Middle","Middle","Middle","Very Low","Very Low","Low","Low"
"147","C05069","Arkansas","AR","Jefferson","Very Low","Very Low","Middle","Low","Low","Middle","Middle","Low","High","Low","High","Middle","Middle","Middle","Very Low","Very Low","Low","Low"
"148","C05071","Arkansas","AR","Johnson","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","High","Low","High","Low","High","Low","Very Low","Very Low","Low","Low"
"149","C05073","Arkansas","AR","Lafayette","Very Low","Very Low","Middle","Middle","Low","Middle","Middle","Low","Middle","Low","High","Low","High","Low","Very Low","Very Low","Low","Low"
"150","C05075","Arkansas","AR","Lawrence","Very Low","Very Low","Middle","Low","Low","Middle","Middle","Low","High","Low","High","Low","Middle","Low","Very Low","Very Low","Low","Middle"
"151","C05077","Arkansas","AR","Lee","Very Low","Very Low","Middle","Low","Low","Middle","High","Low","Middle","Low","High","Low","Low","Low","Very Low","Very Low","Low","Low"
"152","C05079","Arkansas","AR","Lincoln","Very Low","Very Low","Middle","Low","Low","Middle","Middle","Low","High","Low","High","Low","Middle","Middle","Very Low","Very Low","Low","Low"
"153","C05081","Arkansas","AR","Little River","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","High","Low","Very Low","Very Low","Low","Low"
"154","C05083","Arkansas","AR","Logan","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","High","Low","High","Low","High","Low","Very Low","Very Low","Middle","Low"
"155","C05085","Arkansas","AR","Lonoke","Very Low","Very Low","Middle","Low","Low","Middle","Middle","Low","High","Low","High","Middle","Middle","Middle","Very Low","Very Low","Low","Low"
"156","C05087","Arkansas","AR","Madison","Very Low","Very Low","Middle","Low","Low","High","Low","Low","Very High","Low","High","Middle","High","Middle","Very Low","Very Low","Low","Middle"
"157","C05089","Arkansas","AR","Marion","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","Very High","Low","High","Low","Middle","Low","Very Low","Very Low","Middle","Middle"
